location,bhk,total_sqft,bath,price
7TH PHASE JP NAGAR,2,980.0,2.0,69.0
7TH PHASE JP NAGAR,2,1180.0,2.0,72.0
7TH PHASE JP NAGAR,3,1400.0,3.0,115.0
7TH PHASE JP NAGAR,2,1270.0,2.0,83.0
7TH PHASE JP NAGAR,4,2503.0,4.0,188.0
7TH PHASE JP NAGAR,3,2200.0,3.0,190.0
7TH PHASE JP NAGAR,3,1575.0,2.0,110.0
7TH PHASE JP NAGAR,3,1850.0,3.0,140.0
7TH PHASE JP NAGAR,3,1575.0,2.0,120.0
7TH PHASE JP NAGAR,3,1850.0,3.0,150.0
7TH PHASE JP NAGAR,2,1175.0,2.0,82.5
7TH PHASE JP NAGAR,2,1215.0,2.0,90.0
7TH PHASE JP NAGAR,2,1050.0,2.0,75.0
7TH PHASE JP NAGAR,3,1300.0,3.0,89.13
7TH PHASE JP NAGAR,2,1130.0,2.0,73.0
7TH PHASE JP NAGAR,3,1450.0,3.0,100.0
7TH PHASE JP NAGAR,2,1050.0,2.0,50.0
7TH PHASE JP NAGAR,2,1275.0,2.0,87.0
7TH PHASE JP NAGAR,3,1650.0,3.0,110.0
7TH PHASE JP NAGAR,2,850.0,2.0,42.0
7TH PHASE JP NAGAR,3,1680.0,3.0,117.0
7TH PHASE JP NAGAR,3,1850.0,3.0,150.0
7TH PHASE JP NAGAR,2,1236.0,2.0,61.33
7TH PHASE JP NAGAR,2,1000.0,2.0,53.0
7TH PHASE JP NAGAR,3,1680.0,3.0,125.0
7TH PHASE JP NAGAR,3,1675.0,2.0,135.0
7TH PHASE JP NAGAR,2,1187.0,2.0,59.0
7TH PHASE JP NAGAR,3,1850.0,3.0,155.0
7TH PHASE JP NAGAR,2,1000.0,2.0,61.0
7TH PHASE JP NAGAR,3,1460.0,2.0,100.0
7TH PHASE JP NAGAR,3,1650.0,3.0,110.0
7TH PHASE JP NAGAR,2,1200.0,2.0,62.5
7TH PHASE JP NAGAR,2,1000.0,2.0,70.65
7TH PHASE JP NAGAR,2,1080.0,2.0,75.0
7TH PHASE JP NAGAR,3,1680.0,3.0,125.0
7TH PHASE JP NAGAR,3,1460.0,2.0,97.0
7TH PHASE JP NAGAR,2,1120.0,2.0,65.0
7TH PHASE JP NAGAR,2,1100.0,3.0,60.0
7TH PHASE JP NAGAR,3,1790.0,3.0,120.0
7TH PHASE JP NAGAR,3,1680.0,3.0,117.0
7TH PHASE JP NAGAR,2,1050.0,2.0,77.0
7TH PHASE JP NAGAR,2,1040.0,2.0,75.0
7TH PHASE JP NAGAR,3,1800.0,3.0,130.0
7TH PHASE JP NAGAR,2,1050.0,2.0,68.0
7TH PHASE JP NAGAR,2,1000.0,2.0,60.0
7TH PHASE JP NAGAR,2,980.0,2.0,86.0
7TH PHASE JP NAGAR,2,1050.0,2.0,77.47
7TH PHASE JP NAGAR,2,1270.0,2.0,80.0
7TH PHASE JP NAGAR,3,1680.0,3.0,122.0
7TH PHASE JP NAGAR,2,1130.0,2.0,85.0
7TH PHASE JP NAGAR,3,1680.0,3.0,130.0
7TH PHASE JP NAGAR,3,2980.0,4.0,260.0
7TH PHASE JP NAGAR,2,980.0,2.0,77.44
7TH PHASE JP NAGAR,3,1680.0,3.0,112.0
7TH PHASE JP NAGAR,3,2095.0,3.0,150.0
7TH PHASE JP NAGAR,3,1976.0,3.0,145.0
7TH PHASE JP NAGAR,3,1600.0,2.0,110.0
7TH PHASE JP NAGAR,3,1765.0,3.0,118.0
7TH PHASE JP NAGAR,3,1275.0,2.0,88.0
7TH PHASE JP NAGAR,3,1450.0,2.0,102.0
7TH PHASE JP NAGAR,1,750.0,1.0,47.0
7TH PHASE JP NAGAR,2,990.0,2.0,50.0
7TH PHASE JP NAGAR,1,1000.0,1.0,60.0
7TH PHASE JP NAGAR,3,1430.0,2.0,102.0
7TH PHASE JP NAGAR,2,1128.0,2.0,60.0
7TH PHASE JP NAGAR,2,1140.0,2.0,57.0
7TH PHASE JP NAGAR,2,1530.0,2.0,108.0
8TH PHASE JP NAGAR,2,1074.0,2.0,54.005
8TH PHASE JP NAGAR,1,451.0,1.0,29.9
8TH PHASE JP NAGAR,2,1062.0,2.0,42.47
8TH PHASE JP NAGAR,3,1455.0,3.0,73.31
8TH PHASE JP NAGAR,2,871.0,2.0,55.0
8TH PHASE JP NAGAR,2,1098.0,2.0,43.91
8TH PHASE JP NAGAR,3,1800.0,3.0,80.0
8TH PHASE JP NAGAR,4,2700.0,4.0,130.0
8TH PHASE JP NAGAR,2,1080.0,2.0,38.0
8TH PHASE JP NAGAR,2,1059.0,2.0,34.5
8TH PHASE JP NAGAR,2,1080.0,2.0,35.0
8TH PHASE JP NAGAR,1,500.0,1.0,31.0
8TH PHASE JP NAGAR,2,1100.0,2.0,35.0
8TH PHASE JP NAGAR,4,2100.0,4.0,92.0
8TH PHASE JP NAGAR,2,1035.0,2.0,39.33
8TH PHASE JP NAGAR,2,909.0,2.0,40.9
8TH PHASE JP NAGAR,3,1432.0,3.0,72.02
8TH PHASE JP NAGAR,3,1900.0,4.0,90.0
8TH PHASE JP NAGAR,1,500.0,1.0,30.0
8TH PHASE JP NAGAR,2,1125.0,2.0,36.94
8TH PHASE JP NAGAR,2,1100.0,2.0,35.0
8TH PHASE JP NAGAR,2,1089.0,2.0,43.55
8TH PHASE JP NAGAR,3,1504.0,2.0,83.0
8TH PHASE JP NAGAR,4,2600.0,4.0,115.0
8TH PHASE JP NAGAR,2,1089.0,2.0,43.55
8TH PHASE JP NAGAR,2,1513.0,2.0,62.0
8TH PHASE JP NAGAR,2,1298.0,2.0,59.0
8TH PHASE JP NAGAR,2,1006.0,2.0,44.0
8TH PHASE JP NAGAR,1,500.0,1.0,33.0
8TH PHASE JP NAGAR,2,1160.0,2.0,95.0
8TH PHASE JP NAGAR,2,1245.0,2.0,59.0
8TH PHASE JP NAGAR,2,1510.0,2.0,80.0
8TH PHASE JP NAGAR,3,3300.0,3.0,165.0
8TH PHASE JP NAGAR,5,1730.0,5.0,75.0
8TH PHASE JP NAGAR,2,1046.0,2.0,48.0
8TH PHASE JP NAGAR,3,1408.0,3.0,80.0
9TH PHASE JP NAGAR,2,1005.0,2.0,50.0
9TH PHASE JP NAGAR,2,1100.0,2.0,65.0
9TH PHASE JP NAGAR,2,1080.0,2.0,37.0
9TH PHASE JP NAGAR,2,1035.0,2.0,45.0
9TH PHASE JP NAGAR,4,5000.0,4.0,290.0
9TH PHASE JP NAGAR,2,1164.0,2.0,56.0
9TH PHASE JP NAGAR,2,1005.0,2.0,42.0
9TH PHASE JP NAGAR,2,1127.0,2.0,50.0
9TH PHASE JP NAGAR,2,1005.0,2.0,43.0
9TH PHASE JP NAGAR,2,835.0,2.0,37.0
9TH PHASE JP NAGAR,2,1050.0,2.0,39.0
9TH PHASE JP NAGAR,2,660.0,2.0,27.0
9TH PHASE JP NAGAR,1,600.0,1.0,20.0
9TH PHASE JP NAGAR,2,1466.0,2.0,71.0
9TH PHASE JP NAGAR,3,1890.0,2.0,93.0
9TH PHASE JP NAGAR,2,1079.0,2.0,60.0
9TH PHASE JP NAGAR,2,1480.0,2.0,80.0
9TH PHASE JP NAGAR,2,1200.0,2.0,80.0
9TH PHASE JP NAGAR,2,905.0,2.0,32.0
9TH PHASE JP NAGAR,2,1073.0,2.0,52.36
9TH PHASE JP NAGAR,3,1719.3,2.0,88.0
9TH PHASE JP NAGAR,3,1780.0,3.0,88.0
9TH PHASE JP NAGAR,3,1522.0,3.0,90.0
9TH PHASE JP NAGAR,2,890.0,2.0,45.0
9TH PHASE JP NAGAR,4,5000.0,4.0,300.0
9TH PHASE JP NAGAR,2,1050.0,2.0,35.0
9TH PHASE JP NAGAR,2,1331.95,2.0,69.0
ABBIGERE,2,985.0,2.0,40.39
ABBIGERE,6,2200.0,6.0,68.0
ABBIGERE,1,765.0,2.0,30.0
ABBIGERE,2,880.0,2.0,35.0
ABBIGERE,2,795.0,2.0,32.54
ABBIGERE,2,1005.0,2.0,39.59
ABBIGERE,1,734.0,1.0,19.82
ABBIGERE,2,1020.0,2.0,41.82
ABBIGERE,6,2500.0,6.0,81.0
ABBIGERE,2,1130.0,2.0,46.33
ABBIGERE,2,795.0,1.0,32.6
ABBIGERE,8,3000.0,8.0,150.0
ABBIGERE,2,985.0,2.0,38.92
ABBIGERE,2,1000.0,2.0,41.0
ABBIGERE,2,995.0,2.0,40.8
ABBIGERE,2,1020.0,2.0,40.8
AECS LAYOUT,2,1100.0,2.0,45.0
AECS LAYOUT,2,1028.0,2.0,42.0
AECS LAYOUT,2,1199.0,2.0,65.0
AECS LAYOUT,2,1080.0,2.0,55.0
AECS LAYOUT,2,1123.0,2.0,64.0
AECS LAYOUT,2,1308.0,2.0,60.0
AECS LAYOUT,2,1005.0,2.0,55.0
AKSHAYA NAGAR,2,1388.0,2.0,57.0
AKSHAYA NAGAR,2,1070.0,2.0,54.0
AKSHAYA NAGAR,2,1280.0,2.0,58.0
AKSHAYA NAGAR,3,1662.0,3.0,85.1
AKSHAYA NAGAR,3,1897.0,3.0,120.0
AKSHAYA NAGAR,3,1410.0,2.0,75.0
AKSHAYA NAGAR,3,1360.0,2.0,85.0
AKSHAYA NAGAR,3,1410.0,2.0,80.0
AKSHAYA NAGAR,3,1662.0,3.0,85.0
AKSHAYA NAGAR,3,1662.0,3.0,85.5
AKSHAYA NAGAR,2,1280.0,2.0,60.0
AKSHAYA NAGAR,3,1666.0,3.0,95.0
AKSHAYA NAGAR,3,1575.0,3.0,90.0
AKSHAYA NAGAR,3,1430.0,2.0,75.0
AKSHAYA NAGAR,3,1419.0,2.0,73.0
AKSHAYA NAGAR,2,1280.0,2.0,60.0
AKSHAYA NAGAR,2,1200.0,2.0,50.0
AKSHAYA NAGAR,2,1092.0,2.0,60.0
AKSHAYA NAGAR,3,1690.0,3.0,85.0
AKSHAYA NAGAR,3,1897.0,4.0,93.0
AKSHAYA NAGAR,3,1884.0,3.0,98.0
AKSHAYA NAGAR,2,1314.0,2.0,68.8
AKSHAYA NAGAR,3,1690.0,3.0,85.0
AKSHAYA NAGAR,2,1265.0,2.0,67.0
AKSHAYA NAGAR,2,1126.0,2.0,55.0
AKSHAYA NAGAR,3,1662.0,3.0,90.0
AKSHAYA NAGAR,3,1420.0,2.0,75.0
AKSHAYA NAGAR,3,1412.0,2.0,88.0
AKSHAYA NAGAR,3,1434.0,3.0,84.0
AKSHAYA NAGAR,3,1890.0,4.0,100.0
AKSHAYA NAGAR,3,1419.0,2.0,87.0
AKSHAYA NAGAR,2,1300.0,2.0,54.0
AKSHAYA NAGAR,2,1113.0,2.0,52.0
AKSHAYA NAGAR,3,1820.0,4.0,95.0
AKSHAYA NAGAR,2,1100.0,2.0,48.0
AKSHAYA NAGAR,3,1896.0,3.0,102.0
AKSHAYA NAGAR,2,1300.0,2.0,66.0
AKSHAYA NAGAR,2,1225.0,2.0,68.0
AKSHAYA NAGAR,2,1179.0,2.0,51.0
AKSHAYA NAGAR,3,1421.0,2.0,73.0
AKSHAYA NAGAR,3,1893.0,4.0,95.0
AKSHAYA NAGAR,2,900.0,2.0,45.0
AMBALIPURA,2,1105.0,2.0,75.0
AMBALIPURA,3,1800.0,3.0,110.0
AMBALIPURA,2,1150.0,2.0,80.0
AMBALIPURA,2,1250.0,2.0,66.25
AMBALIPURA,2,1332.0,2.0,79.0
AMBALIPURA,3,1730.0,3.0,120.0
AMBALIPURA,2,1230.0,2.0,66.25
AMBALIPURA,2,1351.0,2.0,77.0
AMBALIPURA,2,1303.0,2.0,80.0
AMBALIPURA,3,1607.0,2.0,112.0
AMBALIPURA,1,770.0,1.0,43.82
AMBALIPURA,2,1700.0,2.0,76.0
AMBALIPURA,2,1060.0,2.0,58.5
AMBALIPURA,3,1650.0,3.0,100.0
AMBALIPURA,2,1198.0,2.0,80.0
AMBEDKAR NAGAR,3,1935.0,4.0,130.0
AMBEDKAR NAGAR,2,1424.0,2.0,90.0
AMBEDKAR NAGAR,3,2225.0,4.0,169.0
AMBEDKAR NAGAR,3,1862.0,3.0,120.0
AMBEDKAR NAGAR,3,1850.0,4.0,139.0
AMBEDKAR NAGAR,3,1936.0,4.0,126.0
AMBEDKAR NAGAR,3,1862.0,3.0,119.0
AMBEDKAR NAGAR,3,2150.0,4.0,125.0
AMBEDKAR NAGAR,4,3530.0,4.0,290.0
AMBEDKAR NAGAR,3,1856.0,3.0,120.0
AMBEDKAR NAGAR,3,1852.0,3.0,130.0
AMBEDKAR NAGAR,3,1850.0,4.0,120.0
AMBEDKAR NAGAR,2,1367.0,2.0,86.0
AMBEDKAR NAGAR,4,3565.0,4.0,255.0
AMBEDKAR NAGAR,2,1409.0,2.0,95.0
AMBEDKAR NAGAR,3,1950.0,4.0,120.0
AMBEDKAR NAGAR,3,1921.0,4.0,129.0
AMBEDKAR NAGAR,3,1920.0,4.0,121.0
AMBEDKAR NAGAR,3,1935.0,4.0,125.0
AMBEDKAR NAGAR,3,1852.0,4.0,122.0
AMBEDKAR NAGAR,3,1852.0,3.0,125.0
AMBEDKAR NAGAR,3,1850.0,4.0,121.0
AMBEDKAR NAGAR,2,1425.0,2.0,94.0
AMBEDKAR NAGAR,3,2395.0,4.0,150.0
AMRUTHAHALLI,2,900.0,2.0,40.0
AMRUTHAHALLI,2,1200.0,2.0,55.0
AMRUTHAHALLI,3,1900.0,3.0,135.0
AMRUTHAHALLI,2,924.0,2.0,45.0
AMRUTHAHALLI,2,900.0,2.0,60.0
AMRUTHAHALLI,2,1100.0,2.0,45.0
AMRUTHAHALLI,2,1200.0,2.0,55.0
AMRUTHAHALLI,3,1450.0,2.0,85.0
AMRUTHAHALLI,2,1200.0,2.0,55.0
AMRUTHAHALLI,2,1250.0,2.0,79.0
AMRUTHAHALLI,2,1190.0,2.0,50.0
AMRUTHAHALLI,2,1202.0,2.0,65.0
AMRUTHAHALLI,2,1340.0,2.0,75.0
AMRUTHAHALLI,3,2650.0,4.0,175.0
AMRUTHAHALLI,3,1450.0,2.0,90.0
AMRUTHAHALLI,2,1025.0,2.0,42.0
AMRUTHAHALLI,1,485.0,1.0,19.5
ANANDAPURA,2,1167.0,2.0,43.76
ANANDAPURA,2,1000.0,2.0,55.0
ANANDAPURA,2,1141.0,2.0,42.79
ANANDAPURA,2,1200.0,2.0,67.0
ANANDAPURA,2,1200.0,2.0,58.0
ANANDAPURA,2,1151.0,2.0,43.1
ANANDAPURA,2,1141.0,2.0,42.75
ANANDAPURA,2,900.0,2.0,48.0
ANANDAPURA,4,1749.0,4.0,90.0
ANANDAPURA,2,1151.0,2.0,42.9
ANANDAPURA,2,1250.0,2.0,45.0
ANANDAPURA,2,1151.0,2.0,43.16
ANANDAPURA,2,1200.0,2.0,58.0
ANANDAPURA,3,1200.0,2.0,66.0
ANANDAPURA,3,1415.0,2.0,74.0
ANANDAPURA,2,1200.0,2.0,50.0
ANANDAPURA,2,1141.0,2.0,50.0
ANANTH NAGAR,1,500.0,1.0,14.0
ANANTH NAGAR,2,1100.0,2.0,31.5
ANANTH NAGAR,2,982.0,2.0,24.55
ANANTH NAGAR,1,500.0,2.0,14.0
ANANTH NAGAR,2,900.0,2.0,22.5
ANANTH NAGAR,2,908.0,2.0,26.0
ANANTH NAGAR,2,870.0,2.0,36.0
ANANTH NAGAR,2,937.0,2.0,35.0
ANANTH NAGAR,2,960.0,2.0,37.0
ANANTH NAGAR,1,500.0,1.0,14.0
ANANTH NAGAR,2,1000.0,2.0,29.7
ANANTH NAGAR,2,850.0,2.0,25.99
ANANTH NAGAR,2,902.0,2.0,25.26
ANANTH NAGAR,3,1470.0,3.0,54.0
ANANTH NAGAR,2,810.0,2.0,25.5
ANANTH NAGAR,2,890.0,2.0,27.0
ANANTH NAGAR,2,1200.0,2.0,36.0
ANANTH NAGAR,3,1319.0,3.0,42.0
ANANTH NAGAR,2,1000.0,2.0,25.0
ANANTH NAGAR,2,902.0,2.0,25.0
ANANTH NAGAR,2,930.0,2.0,25.99
ANANTH NAGAR,2,1074.0,2.0,26.85
ANANTH NAGAR,2,1010.0,2.0,38.0
ANANTH NAGAR,2,992.0,2.0,24.8
ANEKAL,2,1200.0,1.0,36.0
ANEKAL,2,656.0,2.0,22.0
ANEKAL,2,620.0,2.0,22.0
ANEKAL,2,925.0,2.0,40.0
ANEKAL,1,530.0,1.0,18.0
ANEKAL,3,1800.0,3.0,68.0
ANEKAL,1,351.0,1.0,16.0
ANEKAL,2,1035.0,2.0,38.3
ANEKAL,2,888.0,2.0,34.0
ANEKAL,2,1200.0,2.0,36.1
ANEKAL,4,1200.0,2.0,36.0
ANEKAL,2,766.0,2.0,28.0
ANEKAL,3,967.0,2.0,45.0
ANEKAL,2,620.0,1.0,23.5
ANEKAL,3,1150.0,3.0,45.0
ANEKAL,1,400.0,1.0,11.5
ANEKAL,1,456.0,1.0,15.0
ANEKAL,3,2400.0,4.0,95.0
ANEKAL,2,1200.0,2.0,36.1
ANEKAL,2,1200.0,2.0,36.1
ANEKAL,2,680.0,1.0,21.0
ANEKAL,1,420.0,1.0,12.5
ANEKAL,2,614.0,1.0,28.0
ANEKAL,2,1140.0,2.0,52.0
ANEKAL,2,625.0,1.0,25.0
ANJANAPURA,4,1850.0,4.0,86.0
ANJANAPURA,2,1070.0,2.0,39.0
ANJANAPURA,3,1500.0,3.0,121.0
ANJANAPURA,2,1070.0,2.0,37.0
ANJANAPURA,2,950.0,2.0,40.0
ANJANAPURA,3,1280.0,2.0,45.0
ANJANAPURA,2,710.0,2.0,25.0
ANJANAPURA,2,950.0,2.0,32.0
ANJANAPURA,4,1800.0,4.0,55.0
ANJANAPURA,3,1843.0,3.0,87.54
ANJANAPURA,2,1076.0,2.0,30.13
ANJANAPURA,2,950.0,2.0,30.0
ARDENDALE,3,1750.0,3.0,100.0
ARDENDALE,4,3198.0,4.0,200.0
ARDENDALE,4,2422.0,4.0,160.0
ARDENDALE,3,1750.0,3.0,100.0
ARDENDALE,4,3200.0,4.0,205.0
ARDENDALE,3,1728.0,3.0,95.0
ARDENDALE,4,2062.0,3.0,140.0
ARDENDALE,3,1732.46,3.0,92.0
ARDENDALE,4,2062.0,3.0,150.0
ARDENDALE,2,1224.0,2.0,70.0
ARDENDALE,3,1777.26,3.0,105.0
ARDENDALE,3,1650.0,3.0,82.0
ARDENDALE,3,1650.0,3.0,82.0
ARDENDALE,2,1224.0,2.0,67.0
ARDENDALE,3,1723.0,3.0,95.0
ARDENDALE,3,1777.26,3.0,89.0
ARDENDALE,3,1777.26,3.0,92.0
AREKERE,3,2060.0,3.0,140.0
AREKERE,2,920.0,2.0,40.0
AREKERE,3,1740.0,2.0,95.0
AREKERE,2,1190.0,2.0,55.0
AREKERE,1,600.0,1.0,28.0
AREKERE,3,2072.0,3.0,108.0
AREKERE,2,1100.0,2.0,55.0
AREKERE,2,900.0,2.0,50.0
AREKERE,2,1240.0,2.0,60.0
AREKERE,2,900.0,2.0,44.5
ATTIBELE,1,450.0,1.0,11.0
ATTIBELE,4,1600.0,4.0,52.8
ATTIBELE,2,656.0,2.0,25.0
ATTIBELE,1,400.0,1.0,11.0
ATTIBELE,1,400.0,1.0,12.0
ATTIBELE,1,400.0,1.0,14.0
ATTIBELE,1,500.0,1.0,17.0
ATTIBELE,4,2168.0,4.0,95.0
ATTIBELE,1,395.0,1.0,10.25
ATTIBELE,1,420.0,1.0,17.0
ATTIBELE,1,418.0,1.0,12.0
ATTIBELE,2,1200.0,2.0,42.0
ATTIBELE,1,400.0,1.0,10.0
ATTIBELE,2,695.0,1.0,25.0
ATTIBELE,2,850.0,1.0,25.0
ATTIBELE,3,2400.0,3.0,120.0
ATTIBELE,1,450.0,1.0,12.5
ATTIBELE,1,782.0,1.0,19.55
ATTIBELE,2,656.0,2.0,25.0
ATTIBELE,1,400.0,1.0,11.5
ATTIBELE,1,460.0,1.0,13.0
ATTIBELE,1,418.0,2.0,11.5
ATTIBELE,2,1000.0,2.0,42.0
ATTIBELE,1,550.0,1.0,11.5
ATTIBELE,1,410.0,1.0,10.0
ATTIBELE,3,1700.0,3.0,65.0
ATTIBELE,1,400.0,1.0,10.25
ATTIBELE,3,1500.0,3.0,90.0
ATTIBELE,1,520.0,1.0,15.0
BABUSAPALAYA,3,1611.0,2.0,66.0
BABUSAPALAYA,3,1675.0,3.0,75.0
BABUSAPALAYA,2,1141.0,2.0,46.0
BABUSAPALAYA,2,1500.0,2.0,57.0
BABUSAPALAYA,2,1050.0,2.0,45.0
BABUSAPALAYA,2,1141.0,2.0,45.9
BABUSAPALAYA,3,1230.0,3.0,53.0
BABUSAPALAYA,2,1105.0,2.0,40.0
BABUSAPALAYA,3,1410.0,2.0,65.0
BABUSAPALAYA,2,1450.0,2.0,55.99
BABUSAPALAYA,2,1100.0,2.0,38.0
BABUSAPALAYA,2,1061.0,2.0,33.84
BABUSAPALAYA,2,1061.0,2.0,38.95
BABUSAPALAYA,2,1061.0,2.0,34.0
BABUSAPALAYA,2,1245.0,2.0,58.0
BALAGERE,2,1210.0,2.0,80.9
BALAGERE,2,1210.0,2.0,72.0
BALAGERE,2,1205.0,2.0,78.5
BALAGERE,1,791.0,1.0,41.9
BALAGERE,2,1020.07,2.0,68.38
BALAGERE,2,1205.47,2.0,81.0
BALAGERE,2,1007.0,2.0,65.0
BALAGERE,2,1210.0,2.0,74.0
BALAGERE,2,1210.0,2.0,83.0
BALAGERE,1,675.0,1.0,45.0
BALAGERE,1,656.0,1.0,43.0
BALAGERE,2,1012.0,2.0,64.0
BALAGERE,2,1007.0,2.0,62.0
BALAGERE,2,1007.0,2.0,67.0
BALAGERE,2,1007.0,2.0,66.0
BALAGERE,1,645.0,1.0,34.18
BALAGERE,1,791.0,1.0,42.295
BALAGERE,2,1012.0,2.0,65.0
BALAGERE,1,656.0,1.0,38.77
BALAGERE,1,645.0,1.0,39.0
BALAGERE,1,645.0,1.0,41.0
BALAGERE,2,1210.0,2.0,82.0
BALAGERE,1,656.0,1.0,34.77
BALAGERE,2,1205.0,2.0,73.87
BALAGERE,2,1012.0,2.0,70.0
BALAGERE,2,1007.0,2.0,68.0
BALAGERE,2,1205.0,2.0,79.0
BALAGERE,2,1012.0,2.0,68.0
BANASHANKARI,2,1077.0,2.0,37.64
BANASHANKARI,3,1470.0,2.0,88.64
BANASHANKARI,3,1300.0,2.0,75.0
BANASHANKARI,3,1800.0,3.0,115.0
BANASHANKARI,2,1125.0,2.0,63.0
